cell_index,C_state,I_state,total_opportunity,n_supported_sender_receiver_pairs
243,5,0,58.295425,15
244,5,2,80.4148,14
245,5,0,58.289913,24
246,5,0,57.057724,15
247,5,2,81.85489,8
248,5,2,181.45062,24
249,1,0,44.17096,33
250,1,0,69.24033,33
251,1,6,75.96268,24
252,1,0,32.55457,34
253,1,0,54.381435,34
254,1,0,63.159817,35
255,1,0,43.953445,34
256,1,0,22.094398,24
257,1,0,58.969967,22
258,1,0,32.760696,8
259,1,0,88.6515,8
260,1,0,91.97802,14
261,1,0,40.88747,15
262,1,0,51.273655,15
263,1,0,86.260635,15
264,1,0,93.153656,15
265,1,0,100.356544,9
266,1,6,36.333054,16
267,1,6,65.07599,16
268,1,0,82.22458,16
269,1,0,49.898224,16
270,1,0,23.33884,16
271,1,0,50.036003,24
272,1,6,20.787231,16
273,1,6,42.778427,23
274,1,6,33.114685,34
275,1,0,21.715567,33
276,1,0,59.02211,34
277,1,0,33.739784,34
278,1,0,63.64627,34
279,1,0,38.586277,35
280,1,0,45.851875,61
281,1,0,23.887026,47
282,1,0,21.55835,46
283,1,0,44.80368,61
284,1,0,20.222137,46
285,1,0,37.279713,60
286,1,0,46.159042,46
287,1,0,23.585554,25
288,1,0,41.62024,34
289,1,0,27.789217,34
290,1,0,18.69914,34
291,1,0,31.908567,34
292,1,0,41.28167,23
293,1,6,41.95713,23
294,1,6,47.453266,23
295,1,6,45.22348,23
296,1,0,32.81339,33
297,1,0,21.63092,34
298,1,6,45.14906,24
299,1,5,22.904577,34
300,1,5,34.90171,35
301,1,5,21.790257,35
302,0,6,25.757195,47
303,1,0,115.1865,15
304,6,6,14.441315,62
305,1,5,62.31277,34
306,1,3,56.708763,23
307,1,0,87.55575,23
308,1,3,21.932032,33
309,1,0,50.74173,23
310,1,5,62.001812,35
311,1,0,103.29301,23
312,0,6,26.200823,47
313,1,3,45.484848,33
314,1,0,47.354095,23
315,1,5,106.78426,9
316,0,6,21.93595,24
317,1,0,83.49059,24
318,6,5,61.95598,79
319,6,6,60.35405,62
320,1,0,38.080433,61
321,1,0,104.53005,15
322,1,0,79.62657,34
323,6,6,36.3897,63
324,6,5,24.138988,63
325,1,0,76.424576,24
326,1,6,60.458122,61
327,6,6,63.090767,62
328,0,5,118.38439,62
329,1,0,98.51276,25
330,0,5,102.89815,49
331,1,0,36.289402,45
332,1,0,101.57596,15
333,0,5,107.73405,49
334,0,5,5.089554,59
335,1,3,34.48707,59
336,6,6,52.295708,63
337,1,3,32.8826,46
338,1,0,94.600876,25
339,6,5,256.64786,24
340,6,6,53.13173,62
341,1,3,32.757713,60
342,1,0,84.22872,35
343,1,5,68.15814,23
344,1,0,73.573074,46
345,0,5,55.30559,63
346,6,5,86.083466,48
347,6,5,112.72037,49
348,6,5,101.07818,48
349,6,5,160.56499,49
350,6,5,121.70595,64
351,6,5,169.73944,49
352,6,5,161.25117,64
353,6,5,195.38083,64
354,6,5,213.17603,48
355,6,5,184.82645,64
356,6,5,158.4719,63
357,6,5,256.0078,36
358,6,5,228.27594,48
359,6,5,262.3333,47
360,6,5,184.11852,49
361,6,5,227.72264,48
362,6,5,259.03516,35
363,6,5,283.1279,34
364,6,5,192.22978,48
365,6,5,203.31685,35
366,6,5,184.64032,36
367,0,5,92.09633,95
368,6,5,233.61063,25
369,3,5,167.67722,48
370,6,5,158.26706,48
371,6,5,196.00682,34
372,6,5,164.8296,46
373,0,5,77.61639,49
374,6,5,144.76245,47
375,0,5,89.57677,62
376,6,5,150.54974,46
377,6,5,119.40419,48
378,6,5,109.10024,49
379,6,5,129.15027,63
380,6,5,139.8918,48
381,6,5,120.496704,49
382,6,5,113.68919,49
383,6,5,130.13116,63
384,0,5,127.66543,63
385,6,5,98.574005,49
386,1,6,83.62836,46
387,7,0,176.38324,16
388,6,2,89.01699,8
389,6,0,126.533356,14
390,6,0,167.31587,16
391,6,0,109.173134,24
392,6,2,152.1665,16
393,6,1,195.92514,24
394,6,1,153.27466,24
395,5,1,197.52585,24
396,5,1,204.0299,24
397,5,1,230.63889,24
398,5,1,207.33629,24
399,5,2,203.88162,24
400,5,1,221.68149,24
401,5,1,207.89763,24
402,2,2,82.04898,46
403,5,2,195.02255,23
404,5,2,188.8923,24
405,5,2,186.17139,16
406,5,2,189.81944,16
407,5,2,174.71764,16
408,5,2,151.68883,15
409,5,2,171.27412,15
410,5,2,161.99788,8
411,5,2,155.31012,15
412,5,2,142.00607,15
413,5,2,131.24074,15
414,5,2,127.984825,4
415,5,2,109.90262,15
416,5,2,108.205864,8
417,5,2,84.24555,9
418,5,2,85.75068,9
419,5,2,76.25682,9
420,5,2,66.742485,8
421,5,2,69.10742,15
422,5,2,64.46156,15
423,5,2,56.977745,15
424,5,2,45.055595,23
425,5,2,54.74068,15
426,5,2,51.22369,15
427,5,2,39.561386,23
428,5,2,46.806156,23
429,5,2,44.718067,23
430,5,0,60.62327,62
431,5,2,52.32561,15
432,5,2,58.35614,15
433,5,2,51.322197,23
434,5,2,60.679882,23
435,5,2,59.172195,15
436,5,2,54.343994,23
437,5,2,46.065964,23
438,7,0,232.39307,16
439,6,2,81.34718,16
440,7,2,286.14627,24
441,7,2,353.50705,24
442,5,2,202.90582,16
443,7,2,187.01959,16
444,7,2,267.1177,16
445,5,2,63.3462,15
446,2,2,81.312454,15
447,5,2,51.445007,15
448,2,2,100.90487,23
449,5,2,68.66495,32
450,5,2,68.6879,33
451,2,2,92.56346,23
452,5,2,62.555637,24
453,2,2,82.481,47
454,2,2,56.965237,46
455,2,2,62.383003,35
456,2,2,88.92931,24
457,2,2,85.55956,47
458,2,2,86.02631,24
459,2,2,50.690063,35
460,5,0,57.94487,62
461,5,0,57.58155,34
462,2,2,92.90271,33
463,2,2,86.83049,46
464,2,2,95.28023,35
465,5,0,77.670296,62
466,2,2,75.905045,34
467,2,2,71.70261,34
468,2,2,99.96979,24
469,2,2,47.71162,48
470,5,0,85.27965,61
471,5,0,59.821007,46
472,5,0,55.950836,35
473,5,0,48.095306,47
474,5,0,69.357834,61
475,7,2,389.0329,24
476,2,2,73.31966,34
477,7,2,327.00046,16
478,5,2,56.081364,35
479,1,2,9.662648,35
480,1,2,8.995262,47
481,1,2,17.155949,35
482,1,6,17.084297,35
483,1,2,15.08441,47
484,1,6,17.884546,47
485,1,6,17.17848,47
486,1,6,38.48307,47
487,1,6,22.346758,47
488,1,6,55.627106,47
489,1,6,44.46646,46
490,1,6,94.94071,33
491,1,6,39.805874,24
492,1,6,75.70076,33
493,1,6,123.38732,46
494,1,6,71.50992,46
495,1,6,140.59818,46
496,1,6,146.48622,35
497,1,0,138.86176,8
498,1,0,162.99377,8
499,1,0,156.68867,15
500,1,0,181.79033,14
501,1,0,91.8075,23
502,1,0,137.83218,25
503,1,0,171.91298,24
504,1,0,150.12889,25
505,1,0,161.25519,25
506,1,0,114.10871,25
507,1,0,148.703,25
508,1,0,68.252556,25
509,1,0,118.53986,25
510,1,0,137.49644,25
511,1,0,68.532845,25
512,1,0,123.30896,25
513,1,0,61.452805,25
514,1,0,116.48237,25
515,1,0,89.6838,23
516,1,0,138.07227,23
517,1,0,66.97839,23
518,1,0,127.24725,14
519,1,0,170.50412,8
520,1,0,112.61887,22
521,1,0,107.91356,22
522,1,0,172.04736,9
523,1,0,127.09282,15
524,1,0,144.46153,15
525,1,0,95.371895,15
526,1,0,45.296623,15
527,1,6,123.07881,46
528,1,6,115.40767,34
529,1,6,148.57735,34
530,1,6,123.490654,35
531,1,0,80.003235,34
532,1,0,117.06529,34
533,1,0,145.03946,34
534,1,0,142.33795,34
535,1,0,82.13064,35
536,1,0,123.1826,34
537,1,0,139.19907,34
538,1,0,121.01067,35
539,1,0,79.43291,35
540,1,0,137.90965,33
541,1,0,112.3519,35
542,1,0,127.90825,33
543,1,0,81.162704,35
544,1,0,118.4769,35
545,1,0,138.46223,34
546,1,0,105.25238,35
547,1,0,125.82939,24
548,1,0,118.26309,34
549,1,0,77.9041,36
550,1,0,109.65101,33
551,1,0,72.644585,35
552,1,0,90.90015,33
553,1,0,52.488632,33
554,1,0,86.15027,32
555,1,0,63.82495,32
556,1,0,67.74065,22
557,1,0,81.575615,22
558,1,0,53.048386,32
559,1,0,72.99066,22
560,1,0,135.57983,22
561,1,0,73.52049,23
562,1,0,135.90062,23
563,1,0,164.83162,22
564,1,0,103.991394,22
565,1,0,177.32425,14
566,1,0,186.82053,8
567,1,0,170.56606,8
568,1,0,97.739685,14
569,1,0,49.774857,34
570,1,0,60.734085,34
571,1,0,69.58594,34
572,1,0,59.664307,46
573,0,6,30.168858,47
574,0,6,9.924089,77
575,0,6,13.663647,77
576,3,3,13.387954,116
577,3,3,14.690485,96
578,6,3,28.382471,96
579,7,3,2.8102736,97
580,7,3,2.709927,61
581,7,3,2.7115078,47
582,0,3,3.4607992,35
583,0,3,5.4163914,46
584,0,3,10.178035,61
585,0,3,23.612438,61
586,0,3,22.177258,60
587,0,3,12.306635,60
588,0,3,35.299095,76
589,0,0,22.119774,76
590,0,0,17.940752,62
591,0,0,40.1643,62
592,0,0,77.941635,62
593,0,2,75.40672,61
594,2,2,68.18144,62
595,0,2,24.3249,63
596,2,2,56.256516,49
597,2,2,82.19304,48
598,2,2,37.32363,62
599,2,2,75.47337,62
600,5,2,89.71892,62
601,5,2,103.06975,48
602,2,2,76.346634,62
603,5,2,106.06159,62
604,2,2,50.04801,62
605,5,2,110.82454,61
606,5,2,115.66095,61
607,5,2,83.46031,62
608,5,2,105.836914,48
609,5,2,114.8083,46
