C_state,I_state,cell_type,sender_availability,receiver_availability
7,0,DCIS_2,0.01585676334798336,0.01585676334798336
7,0,Endothelial,0.0009708615834824741,0.0009708615834824741
7,0,IRF7+_DCs,0.0003547767410054803,0.0003547767410054803
7,0,Invasive_Tumor,0.074879489839077,0.074879489839077
7,0,LAMP3+_DCs,0.0,0.0
7,0,Macrophages_1,0.020774733275175095,0.020774733275175095
7,0,Macrophages_2,0.0002694165159482509,0.0002694165159482509
7,0,Mast_Cells,0.0006892635719850659,0.0006892635719850659
7,0,Myoepi_ACTA2+,0.001852844376116991,0.001852844376116991
7,0,Myoepi_KRT15+,0.0011974492808803916,0.0011974492808803916
7,0,Perivascular-Like,0.0003813861985690892,0.0003813861985690892
7,0,Prolif_Invasive_Tumor,0.0002870415919460356,0.0002870415919460356
7,0,Stromal,0.013518589548766613,0.013518589548766613
7,0,Stromal_&_T_Cell_Hybrid,1.5313997892008047e-06,1.5313997892008047e-06
7,0,T_Cell_&_Tumor_Hybrid,0.0007609038148075342,0.0007609038148075342
7,0,Unlabeled,0.847987174987793,0.847987174987793
7,1,B_Cells,0.0024707766715437174,0.0024707766715437174
7,1,CD4+_T_Cells,0.004783149342983961,0.004783149342983961
7,1,CD8+_T_Cells,0.006892723962664604,0.006892723962664604
7,1,DCIS_1,0.058325354009866714,0.058325354009866714
7,1,DCIS_2,0.16963452100753784,0.16963452100753784
7,1,Endothelial,0.0027061200235038996,0.0027061200235038996
7,1,IRF7+_DCs,0.000891968491487205,0.000891968491487205
7,1,Invasive_Tumor,0.1540394276380539,0.1540394276380539
7,1,LAMP3+_DCs,0.0,0.0
7,1,Macrophages_1,0.043223269283771515,0.043223269283771515
7,1,Macrophages_2,5.2542221965268254e-05,5.2542221965268254e-05
7,1,Mast_Cells,0.0,0.0
7,1,Myoepi_ACTA2+,0.007264278829097748,0.007264278829097748
7,1,Myoepi_KRT15+,0.009293203242123127,0.009293203242123127
7,1,Perivascular-Like,0.00044272575178183615,0.00044272575178183615
7,1,Prolif_Invasive_Tumor,0.0,0.0
7,1,Stromal,0.017283059656620026,0.017283059656620026
7,1,Stromal_&_T_Cell_Hybrid,0.00010558943904470652,0.00010558943904470652
7,1,T_Cell_&_Tumor_Hybrid,0.0012298293877393007,0.0012298293877393007
7,1,Unlabeled,0.5213614106178284,0.5213614106178284
7,2,B_Cells,0.0046604471281170845,0.0046604471281170845
7,2,CD4+_T_Cells,0.013376688584685326,0.013376688584685326
7,2,CD8+_T_Cells,0.007480978034436703,0.007480978034436703
7,2,DCIS_1,0.011734100989997387,0.011734100989997387
7,2,DCIS_2,0.17978204786777496,0.17978204786777496
7,2,Endothelial,0.0038043938111513853,0.0038043938111513853
7,2,IRF7+_DCs,0.0007456022431142628,0.0007456022431142628
7,2,Invasive_Tumor,0.14348086714744568,0.14348086714744568
7,2,LAMP3+_DCs,7.763323083054274e-05,7.763323083054274e-05
7,2,Macrophages_1,0.06491158902645111,0.06491158902645111
7,2,Macrophages_2,7.480401109205559e-05,7.480401109205559e-05
7,2,Mast_Cells,0.00024357112124562263,0.00024357112124562263
7,2,Myoepi_ACTA2+,0.014385535381734371,0.014385535381734371
7,2,Myoepi_KRT15+,0.004778854548931122,0.004778854548931122
7,2,Perivascular-Like,0.00016666324518155307,0.00016666324518155307
7,2,Prolif_Invasive_Tumor,3.0084478567005135e-05,3.0084478567005135e-05
7,2,Stromal,0.02650836668908596,0.02650836668908596
7,2,Stromal_&_T_Cell_Hybrid,0.0011391701409593225,0.0011391701409593225
7,2,T_Cell_&_Tumor_Hybrid,0.000621859566308558,0.000621859566308558
7,2,Unlabeled,0.5219966769218445,0.5219966769218445
7,3,B_Cells,0.032026614993810654,0.032026614993810654
7,3,CD4+_T_Cells,0.0380353182554245,0.0380353182554245
7,3,CD8+_T_Cells,0.025287052616477013,0.025287052616477013
7,3,DCIS_1,0.0016333615640178323,0.0016333615640178323
7,3,DCIS_2,0.007855026982724667,0.007855026982724667
7,3,Endothelial,0.0066812122240662575,0.0066812122240662575
7,3,IRF7+_DCs,0.007284155581146479,0.007284155581146479
7,3,Invasive_Tumor,0.01986602507531643,0.01986602507531643
7,3,LAMP3+_DCs,0.004141128156334162,0.004141128156334162
7,3,Macrophages_1,0.056037988513708115,0.056037988513708115
7,3,Macrophages_2,0.01684807613492012,0.01684807613492012
7,3,Mast_Cells,2.014797973970417e-05,2.014797973970417e-05
7,3,Myoepi_ACTA2+,0.001757774269208312,0.001757774269208312
7,3,Myoepi_KRT15+,0.0,0.0
7,3,Perivascular-Like,0.0009710199083201587,0.0009710199083201587
7,3,Prolif_Invasive_Tumor,0.0006617999169975519,0.0006617999169975519
7,3,Stromal,0.18153202533721924,0.18153202533721924
7,3,Stromal_&_T_Cell_Hybrid,0.0008889964665286243,0.0008889964665286243
7,3,T_Cell_&_Tumor_Hybrid,0.01412896066904068,0.01412896066904068
7,3,Unlabeled,0.5843432545661926,0.5843432545661926
7,4,B_Cells,0.0003020737785845995,0.0003020737785845995
7,4,CD4+_T_Cells,0.011584054678678513,0.011584054678678513
7,4,CD8+_T_Cells,0.006648205686360598,0.006648205686360598
7,4,DCIS_1,0.07141654938459396,0.07141654938459396
7,4,DCIS_2,0.04543159529566765,0.04543159529566765
7,4,Endothelial,0.006749308668076992,0.006749308668076992
7,4,IRF7+_DCs,0.000586644047871232,0.000586644047871232
7,4,Invasive_Tumor,0.10738790035247803,0.10738790035247803
7,4,LAMP3+_DCs,0.0,0.0
7,4,Macrophages_1,0.06435613334178925,0.06435613334178925
7,4,Macrophages_2,0.00034439904266037047,0.00034439904266037047
7,4,Mast_Cells,0.0,0.0
7,4,Myoepi_ACTA2+,0.009269492700695992,0.009269492700695992
7,4,Myoepi_KRT15+,0.006809455808252096,0.006809455808252096
7,4,Perivascular-Like,0.0029007738921791315,0.0029007738921791315
7,4,Prolif_Invasive_Tumor,0.0,0.0
7,4,Stromal,0.05504358932375908,0.05504358932375908
7,4,Stromal_&_T_Cell_Hybrid,0.0004109360452275723,0.0004109360452275723
7,4,T_Cell_&_Tumor_Hybrid,3.449390351306647e-05,3.449390351306647e-05
7,4,Unlabeled,0.6107243299484253,0.6107243299484253
7,5,B_Cells,0.03724650666117668,0.03724650666117668
7,5,CD4+_T_Cells,0.11626868695020676,0.11626868695020676
7,5,CD8+_T_Cells,0.04880976676940918,0.04880976676940918
7,5,DCIS_1,0.0028912671841681004,0.0028912671841681004
7,5,DCIS_2,0.01533859595656395,0.01533859595656395
7,5,Endothelial,0.013005007989704609,0.013005007989704609
7,5,IRF7+_DCs,0.0010576929198578,0.0010576929198578
7,5,Invasive_Tumor,0.034331437200307846,0.034331437200307846
7,5,LAMP3+_DCs,0.0007935143657959998,0.0007935143657959998
7,5,Macrophages_1,0.08391092717647552,0.08391092717647552
7,5,Macrophages_2,0.002334308810532093,0.002334308810532093
7,5,Mast_Cells,0.00024394039064645767,0.00024394039064645767
7,5,Myoepi_ACTA2+,0.0026209542993456125,0.0026209542993456125
7,5,Myoepi_KRT15+,0.00047708823694847524,0.00047708823694847524
7,5,Perivascular-Like,0.002626584842801094,0.002626584842801094
7,5,Prolif_Invasive_Tumor,0.0001671184872975573,0.0001671184872975573
7,5,Stromal,0.09466041624546051,0.09466041624546051
7,5,Stromal_&_T_Cell_Hybrid,0.0025690519250929356,0.0025690519250929356
7,5,T_Cell_&_Tumor_Hybrid,0.0015082916943356395,0.0015082916943356395
7,5,Unlabeled,0.539138674736023,0.539138674736023
7,6,B_Cells,0.014905659481883049,0.014905659481883049
