C_state,n_cells,dominant_CCC_state,dominant_fraction,CCC_state_entropy,effective_CCC_states
0,50998,6,0.2635789638809365,1.767252268755846,5.854743976437376
1,45362,0,0.7919844804020987,0.7415989471771323,2.099289485365272
2,7751,2,0.641594632950587,1.245055370871538,3.473127104087451
3,6553,6,0.47428658629635284,1.5116345943300806,4.5341362135837375
4,18346,1,0.6667938515207674,0.6890550047951062,1.9918323715537696
5,13133,2,0.870783522424427,0.5302733093337767,1.699396706135148
6,20228,5,0.6447992881154835,1.1907903077176614,3.2896800398332977
7,3992,0,0.35470941883767537,1.7552268081551778,5.784759623836826
