C_state,n_cells,n_CCC_states_observed,dominant_CCC_fraction,CCC_entropy,spatially_coherent_CCC_split,median_within_same_I_comp_JS,median_between_I_comp_JS,median_within_same_I_CCC_dist,median_between_I_CCC_dist,median_within_same_I_common_support_CCC_dist,median_between_I_common_support_CCC_dist,median_within_common_support_features,median_between_common_support_features,opportunity_confounding_flag,interpretation
0,50998,8,0.2635789638809365,1.767252268755846,yes,0.4778040945529938,0.5609701573848724,0.48066017031669617,0.7214825749397278,0.404997770958911,0.44268629028027756,216.0,139.5,True,apparent split largely explained by opportunity/composition
1,45362,8,0.7919844804020987,0.7415989471771323,yes,0.35974182188510895,0.45687490701675415,0.40240204334259033,0.6536544859409332,0.26422354271568754,0.3912759481064363,58.0,74.0,False,apparent split largely explained by opportunity/composition
2,7751,8,0.641594632950587,1.245055370871538,yes,0.47677454352378845,0.6184112429618835,0.44940757751464844,0.7950610518455505,0.29443912074658996,0.46229410116040964,121.0,118.0,True,inconclusive
3,6553,8,0.47428658629635284,1.5116345943300806,yes,0.4715385437011719,0.5271576046943665,0.4715651273727417,0.6271840035915375,0.38407907963555865,0.42754775565564895,243.0,268.0,False,inconclusive
4,18346,8,0.6667938515207674,0.6890550047951062,yes,0.4354362487792969,0.5279040634632111,0.36948317289352417,0.6460728049278259,0.09136354431229055,0.08113715675316802,52.0,26.0,True,apparent split largely explained by opportunity/composition
5,13133,8,0.870783522424427,0.5302733093337767,yes,0.46914030611515045,0.5202265679836273,0.3900962769985199,0.6308545768260956,0.17275037032395912,0.24433063641775132,22.0,21.0,True,apparent split largely explained by opportunity/composition
6,20228,8,0.6447992881154835,1.1907903077176614,yes,0.46849025785923004,0.5094252526760101,0.4299808293581009,0.6312960982322693,0.3560508541797406,0.4015924445937479,359.0,361.0,False,inconclusive
7,3992,8,0.35470941883767537,1.7552268081551778,yes,0.35002319514751434,0.5532484352588654,0.41106119751930237,0.9448423683643341,0.6565493395184373,0.8988812572726815,35.0,46.0,False,apparent split largely explained by opportunity/composition
