C_state,I_state,sender,receiver,composition_pair_availability
0,0,DCIS_2,IRF7+_DCs,2.9563500447693514e-07
0,0,DCIS_2,Invasive_Tumor,0.0005544595187529922
0,0,DCIS_2,LAMP3+_DCs,1.171592316495662e-06
0,0,DCIS_2,Macrophages_1,0.00024512826348654926
0,0,DCIS_2,Macrophages_2,3.770589319174178e-05
0,0,DCIS_2,Mast_Cells,5.96187021528749e-07
0,0,DCIS_2,Myoepi_ACTA2+,0.00032904025283642113
0,0,DCIS_2,Myoepi_KRT15+,0.0
0,0,DCIS_2,Perivascular-Like,2.2339723727782257e-05
0,0,DCIS_2,Prolif_Invasive_Tumor,9.908902575261891e-05
0,0,DCIS_2,Stromal,0.0013130530714988708
0,0,DCIS_2,Stromal_&_T_Cell_Hybrid,1.3439985195873305e-05
0,0,DCIS_2,T_Cell_&_Tumor_Hybrid,2.9055177947157063e-05
0,0,DCIS_2,Unlabeled,0.00014922465197741985
0,0,Endothelial,B_Cells,0.000938815122935921
0,0,Endothelial,CD4+_T_Cells,0.0012060857843607664
0,0,Endothelial,CD8+_T_Cells,0.0023188379127532244
0,0,Endothelial,DCIS_1,1.3012114550292608e-06
0,0,Endothelial,DCIS_2,0.00015085139602888376
0,0,Endothelial,Endothelial,0.00981532409787178
0,0,Endothelial,IRF7+_DCs,5.345354657038115e-05
0,0,Endothelial,Invasive_Tumor,0.011014414019882679
0,0,Endothelial,LAMP3+_DCs,6.682671937596751e-06
0,0,Endothelial,Macrophages_1,0.005183516535907984
0,0,Endothelial,Macrophages_2,0.00020226856577210128
0,0,Endothelial,Mast_Cells,0.0001045270255417563
0,0,Endothelial,Myoepi_ACTA2+,0.0001561967801535502
0,0,Endothelial,Myoepi_KRT15+,0.0
0,0,Endothelial,Perivascular-Like,0.0006037213024683297
0,0,Endothelial,Prolif_Invasive_Tumor,0.002501854905858636
0,0,Endothelial,Stromal,0.02417289838194847
0,0,Endothelial,Stromal_&_T_Cell_Hybrid,0.00029440916841849685
0,0,Endothelial,T_Cell_&_Tumor_Hybrid,0.0007221025298349559
0,0,Endothelial,Unlabeled,0.00257141818292439
0,0,IRF7+_DCs,B_Cells,1.2063132999173831e-05
0,0,IRF7+_DCs,CD4+_T_Cells,6.136411684565246e-05
0,0,IRF7+_DCs,CD8+_T_Cells,5.612461973214522e-05
0,0,IRF7+_DCs,DCIS_1,0.0
0,0,IRF7+_DCs,DCIS_2,2.9563500447693514e-07
0,0,IRF7+_DCs,Endothelial,5.345354657038115e-05
0,0,IRF7+_DCs,IRF7+_DCs,5.8345238358015195e-05
0,0,IRF7+_DCs,Invasive_Tumor,0.0001714943937258795
0,0,IRF7+_DCs,LAMP3+_DCs,0.0
0,0,IRF7+_DCs,Macrophages_1,0.00014170502254273742
0,0,IRF7+_DCs,Macrophages_2,1.4134517186903395e-05
0,0,IRF7+_DCs,Mast_Cells,3.8025428135577327e-19
0,0,IRF7+_DCs,Myoepi_ACTA2+,7.06547211848374e-07
0,0,IRF7+_DCs,Myoepi_KRT15+,0.0
0,0,IRF7+_DCs,Perivascular-Like,6.124724677647464e-06
0,0,IRF7+_DCs,Prolif_Invasive_Tumor,3.998130341642536e-05
0,0,IRF7+_DCs,Stromal,0.00033429975155740976
0,0,IRF7+_DCs,Stromal_&_T_Cell_Hybrid,1.2383025932649616e-05
0,0,IRF7+_DCs,T_Cell_&_Tumor_Hybrid,2.1096517230034806e-05
0,0,IRF7+_DCs,Unlabeled,3.718612788361497e-05
0,0,Invasive_Tumor,B_Cells,0.0023293725680559874
0,0,Invasive_Tumor,CD4+_T_Cells,0.0026357918977737427
0,0,Invasive_Tumor,CD8+_T_Cells,0.006181072443723679
