C_state,metric,category,median,Q25,Q75,separation_AUC_between_gt_within
0,composition_JS,same_I,0.4778040945529938,0.3765755146741867,0.5649551600217819,0.66620925
0,composition_JS,different_I,0.5609701573848724,0.46073149889707565,0.6398441642522812,0.66620925
0,CCC_soft_JS,same_I,0.48066017031669617,0.3792475163936615,0.5665104985237122,0.8622752490046999
0,CCC_soft_JS,different_I,0.7214825749397278,0.5955814272165298,0.8447594195604324,0.8622752490046999
0,CCC_common_support_cosine,same_I,0.404997770958911,0.30606405776148327,0.5230874630983819,0.55352325
0,CCC_common_support_cosine,different_I,0.44268629028027756,0.3320656100927678,0.5612669726474621,0.55352325
0,common_support_features,same_I,216.0,112.0,351.0,0.39081325
0,common_support_features,different_I,139.5,60.0,248.0,0.39081325
0,opportunity_relative_difference,same_I,0.5462068021297455,0.2714693695306778,0.8029504865407944,0.522617
0,opportunity_relative_difference,different_I,0.5777672231197357,0.2937358617782593,0.8393960893154144,0.522617
1,composition_JS,same_I,0.35974182188510895,0.27071913331747055,0.4520520493388176,0.698616625
1,composition_JS,different_I,0.45687490701675415,0.3687301501631737,0.5519630908966064,0.698616625
1,CCC_soft_JS,same_I,0.40240204334259033,0.22638124227523804,0.49784019589424133,0.8602461732322795
1,CCC_soft_JS,different_I,0.6536544859409332,0.5465970784425735,0.7454569041728973,0.8602461732322795
1,CCC_common_support_cosine,same_I,0.26422354271568754,0.054397258900255985,0.4482997034230223,0.6054604010025063
1,CCC_common_support_cosine,different_I,0.3912759481064363,0.16882288442385418,0.5618311360220531,0.6054604010025063
1,common_support_features,same_I,58.0,22.0,134.0,0.533305375
1,common_support_features,different_I,74.0,20.0,162.0,0.533305375
1,opportunity_relative_difference,same_I,0.19530627876520157,0.09383075125515461,0.3247422128915787,0.5336725
1,opportunity_relative_difference,different_I,0.22025492787361145,0.0991196446120739,0.36270415037870407,0.5336725
2,composition_JS,same_I,0.47677454352378845,0.37246687710285187,0.5879579186439514,0.73712875
2,composition_JS,different_I,0.6184112429618835,0.5182734876871109,0.7340736240148544,0.73712875
2,CCC_soft_JS,same_I,0.44940757751464844,0.31941673904657364,0.5463238954544067,0.9441624365482234
2,CCC_soft_JS,different_I,0.7950610518455505,0.6834490895271301,0.914860188961029,0.9441624365482234
2,CCC_common_support_cosine,same_I,0.29443912074658996,0.17885306417752,0.4432822102340954,0.7062516655473506
2,CCC_common_support_cosine,different_I,0.46229410116040964,0.32795295592011486,0.5915467906511803,0.7062516655473506
2,common_support_features,same_I,121.0,82.0,190.0,0.456103875
2,common_support_features,different_I,118.0,64.0,210.0,0.456103875
2,opportunity_relative_difference,same_I,0.21495290100574493,0.09815152920782566,0.36693938821554184,0.526286375
2,opportunity_relative_difference,different_I,0.23021279275417328,0.10843714326620102,0.38977206498384476,0.526286375
3,composition_JS,same_I,0.4715385437011719,0.3899289667606354,0.5565837770700455,0.617983625
