region_id,C_state,I_state,n_cells,x_centroid_um,y_centroid_um,total_opportunity_median,supported_pairs_median,dominant_cell_types,C_centroid_0,C_centroid_1,C_centroid_2,C_centroid_3,C_centroid_4,C_centroid_5,C_centroid_6,C_centroid_7,C_centroid_8,C_centroid_9,C_centroid_10,C_centroid_11,C_centroid_12,C_centroid_13,C_centroid_14,C_centroid_15,C_centroid_16,C_centroid_17,C_centroid_18,C_centroid_19,CCC_soft_centroid_0,CCC_soft_centroid_1,CCC_soft_centroid_2,CCC_soft_centroid_3,CCC_soft_centroid_4,CCC_soft_centroid_5,CCC_soft_centroid_6,CCC_soft_centroid_7
0,5,2,3585,791.0370483398438,629.8729248046875,118.20193481445312,14.0,"DCIS_2, Invasive_Tumor, Myoepi_ACTA2+",0.00018651677237357944,0.0016808739164844155,0.005414022598415613,0.0027107943315058947,0.6524187326431274,0.010096483863890171,4.497962800087407e-05,0.1762799620628357,7.582591479149414e-06,0.032092101871967316,0.0005642603500746191,0.0002586555201560259,0.06113811954855919,0.00046992007992230356,0.0006620619096793234,0.0042118895798921585,0.013340487144887447,5.6288194173248485e-05,0.002101178979501128,0.036266129463911057,0.18009260296821594,0.06551491469144821,0.6977596282958984,0.00729513680562377,0.0022304763551801443,0.014897450804710388,0.028136087581515312,0.004073996562510729
1,7,2,44,876.033935546875,351.4203186035156,326.51702880859375,15.0,"Unlabeled, Invasive_Tumor, DCIS_2",0.0,0.005275077652186155,0.0,0.0,0.27805522084236145,0.0,0.0,0.24618545174598694,0.0,0.029443174600601196,0.0,0.0,0.0005402190145105124,0.0023225147742778063,0.0,0.0,0.004479893017560244,0.0,0.0,0.43369847536087036,0.07324432581663132,0.0031044133938848972,0.9236512780189514,0.0,0.0,1.5414283107572988e-44,0.0,0.0
5,5,1,53,782.3853759765625,409.4311218261719,221.7619171142578,24.0,"DCIS_2, Invasive_Tumor, Unlabeled",0.0,0.003516386030241847,0.0,0.04277477040886879,0.5967016220092773,0.0,0.0,0.1399448662996292,0.0,0.04167788848280907,0.0,0.0,0.0009593461290933192,0.0,0.0,0.0,0.005301670636981726,0.0,0.0,0.16912341117858887,0.018162067979574203,0.6191191673278809,0.34505632519721985,0.001327127800323069,0.010938410647213459,0.005397007334977388,1.893154225302828e-42,0.0
7,7,2,154,895.7469482421875,451.8409729003906,262.9647216796875,33.0,"Unlabeled, Invasive_Tumor, DCIS_2",0.004117242526262999,0.020742831751704216,0.0,0.01021721214056015,0.15237966179847717,0.0027330834418535233,0.002807771787047386,0.22002620995044708,0.0,0.09906405955553055,0.0,0.0009173457510769367,0.014774228446185589,0.001333170454017818,0.0,0.0,0.007582612801343203,0.0,0.0,0.4633045494556427,0.06822846084833145,0.07783356308937073,0.758765459060669,0.018775522708892822,0.03490704298019409,0.0372018925845623,4.203895392974451e-45,0.0
11,1,2,57,878.0111083984375,115.39157104492188,142.6294403076172,14.0,"Invasive_Tumor, DCIS_2, Myoepi_ACTA2+",0.0,0.0020425140392035246,0.00861720647662878,0.0026576677337288857,0.38684797286987305,0.003962900955229998,0.0,0.5267961621284485,0.0,0.00674626138061285,0.0,0.0009130463004112244,0.03960568830370903,0.0,0.0014542066492140293,0.0004759425646625459,0.0027643810026347637,0.0,0.002848963951691985,0.014267079532146454,0.2524644434452057,0.050056107342243195,0.6438900232315063,0.00325112696737051,0.011405214667320251,0.02039867825806141,0.018534475937485695,0.0
15,2,2,167,691.6102905273438,768.1282958984375,116.23705291748047,47.0,"Myoepi_ACTA2+, Endothelial, Stromal",0.005315809976309538,0.008255005814135075,0.019536754116415977,0.0,0.21121186017990112,0.12309757620096207,0.0,0.05205549672245979,0.0,0.02372293919324875,0.0069067226722836494,0.0021909349597990513,0.42043250799179077,0.0,0.004672250244766474,0.004217850510030985,0.08335384726524353,0.0,0.001705107162706554,0.03332532197237015,0.16584736108779907,0.010514307767152786,0.5306584239006042,0.03179053217172623,0.0039573777467012405,0.044890061020851135,0.19558583199977875,0.016756026074290276
17,5,0,96,826.5994262695312,886.3858032226562,79.46099090576172,23.5,"DCIS_2, Invasive_Tumor, Prolif_Invasive_Tumor",0.0,0.0046526771038770676,0.006211223546415567,0.0,0.5392703413963318,0.010046976618468761,0.0,0.2361147552728653,0.0,0.05063503980636597,0.00016018874885048717,0.0004895809688605368,0.07037001103162766,0.0,0.0,0.04137792810797691,0.011961798183619976,0.0,0.011875227093696594,0.016834216192364693,0.5408526062965393,0.03816095367074013,0.3605159521102905,0.01649417169392109,8.840448572300375e-05,0.017037054523825645,0.023284316062927246,0.0035666509065777063
19,1,0,1626,191.4821319580078,406.6882019042969,110.65777587890625,23.0,"Invasive_Tumor, Prolif_Invasive_Tumor, Stromal",0.000804273528046906,0.0019884207285940647,0.015307390131056309,0.0006399534177035093,0.00605554087087512,0.030724549666047096,0.00030062455334700644,0.7177174091339111,0.0,0.05365798622369766,0.00031293672509491444,0.0,0.0015468766214326024,0.0,0.0017783769872039557,0.07896948605775833,0.06552032381296158,0.0005685025826096535,0.01092266570776701,0.013184674084186554,0.7822691798210144,0.0036603226326406,0.014453960582613945,0.025170862674713135,0.004163070116192102,0.05013333633542061,0.11756832152605057,0.0025811519008129835
24,0,6,35,89.43980407714844,921.9100952148438,60.420570373535156,61.0,"Stromal, B_Cells, Endothelial",0.0774235874414444,0.07271039485931396,0.048636868596076965,0.0,0.023235196247696877,0.10341900587081909,0.0,0.09364845603704453,0.0027855478692799807,0.06698813289403915,0.015797508880496025,0.003876335686072707,0.0,0.0,0.0,0.0007918541086837649,0.46147069334983826,0.015373528003692627,0.0,0.013842894695699215,0.07813796401023865,0.00030618486925959587,0.05129158869385719,0.05510386824607849,2.1940817871513968e-34,0.2582685351371765,0.45807844400405884,0.09881345182657242
26,1,5,48,221.66798400878906,916.0772094726562,78.12256622314453,47.0,"Invasive_Tumor, Macrophages_1, Endothelial",0.04905671998858452,0.030163519084453583,0.043110210448503494,0.0,0.0,0.1216534748673439,0.0,0.45319536328315735,0.0,0.1308852881193161,0.0,0.0,0.0,0.0,0.0,0.016996236518025398,0.10052287578582764,0.0,0.00020941304683219641,0.054206863045692444,0.2442045658826828,0.00037527320091612637,0.0006767004379071295,0.051806602627038956,0.0038764362689107656,0.4910311698913574,0.20290835201740265,0.005120949354022741
