C_state,I_state,n_cells,total_opportunity_Q25,total_opportunity_median,total_opportunity_Q75,supported_pairs_Q25,supported_pairs_median,supported_pairs_Q75
0,0,1952,19.643810272216797,37.657955169677734,62.11180114746094,25.0,46.0,62.0
0,1,521,31.71457290649414,58.04042434692383,91.22955322265625,35.0,48.0,62.0
0,2,3035,36.730438232421875,68.84060668945312,103.38850402832031,24.0,45.0,61.0
0,3,5152,5.855659008026123,25.82695198059082,81.43370056152344,23.0,45.0,61.0
0,4,3042,26.018571853637695,51.58441925048828,81.3240737915039,34.0,47.0,61.0
0,5,13325,26.376089096069336,61.48344039916992,110.0325698852539,33.0,46.0,61.0
0,6,13442,5.0696611404418945,17.67758560180664,45.95896911621094,13.0,24.0,43.0
0,7,10529,7.486906051635742,27.486591339111328,71.59201049804688,21.0,35.0,60.0
1,0,35926,55.89939880371094,74.89198303222656,97.215576171875,8.0,16.0,33.0
1,1,164,113.65888214111328,140.8444061279297,181.5286865234375,16.0,24.0,35.0
1,2,817,79.89785766601562,109.60331726074219,139.6044464111328,4.0,14.0,24.0
1,3,477,39.611270904541016,58.41850280761719,83.72102355957031,15.0,25.0,46.0
1,4,17,85.81985473632812,101.64079284667969,150.40426635742188,16.0,24.0,34.0
1,5,1304,58.52204132080078,82.22352600097656,108.03665161132812,34.0,48.0,62.0
1,6,6315,47.7130126953125,66.52960968017578,89.51924133300781,22.0,25.0,35.0
1,7,342,41.509620666503906,57.07215881347656,78.68883514404297,34.0,59.5,76.0
2,0,106,65.03654479980469,81.20344543457031,114.24091339111328,47.0,61.0,79.0
2,1,583,77.389404296875,104.85540771484375,142.999755859375,24.0,34.0,48.0
2,2,4973,76.15240478515625,104.74330139160156,140.28480529785156,15.0,24.0,46.0
2,3,109,66.73729705810547,128.0044708251953,174.47959899902344,24.0,34.0,46.0
2,4,929,70.58360290527344,105.98516082763672,137.20083618164062,24.0,36.0,60.0
2,5,582,107.320556640625,158.65045166015625,198.28128051757812,22.0,25.0,46.0
2,6,384,65.85545349121094,99.67915344238281,138.67994689941406,25.0,35.0,48.0
2,7,85,59.02899169921875,99.89436340332031,115.87017822265625,60.0,63.0,78.0
3,0,456,39.372406005859375,63.224517822265625,89.05254364013672,46.0,60.0,78.0
3,1,30,20.14667510986328,69.12887573242188,126.64579010009766,47.25,61.0,77.0
3,2,232,50.61808776855469,75.73539733886719,106.39192962646484,47.0,49.0,78.0
3,3,276,39.26341247558594,77.13040161132812,118.46029663085938,48.0,62.0,78.0
3,4,146,43.67218017578125,67.43734741210938,98.43827819824219,47.0,61.0,76.0
3,5,1171,71.67960357666016,112.31637573242188,148.338623046875,47.0,61.0,77.0
3,6,3108,20.238388061523438,44.90966033935547,85.83954620361328,23.0,34.0,47.0
3,7,1134,39.58335494995117,73.99734497070312,113.97118377685547,35.0,60.0,76.0
4,0,4,55.09819793701172,58.07203674316406,73.81071472167969,60.0,60.0,68.5
4,1,12233,71.25059509277344,91.17295837402344,113.10797882080078,8.0,15.0,33.0
4,2,114,65.76850891113281,88.62841033935547,105.39826965332031,33.0,36.0,48.0
4,3,2,44.90577697753906,87.93128204345703,130.956787109375,86.75,96.5,106.25
4,4,5941,62.20003890991211,81.59545135498047,102.96354675292969,15.0,25.0,46.0
4,5,5,84.58622741699219,90.19744110107422,116.64095306396484,76.0,77.0,78.0
4,6,26,54.7359504699707,92.96953582763672,101.51678466796875,34.25,47.0,61.75
4,7,21,35.54579544067383,74.3664779663086,118.66692352294922,61.0,62.0,96.0
5,0,583,79.766845703125,102.29930877685547,129.50515747070312,9.0,16.0,34.0
5,1,896,103.2262954711914,141.84628295898438,197.83755493164062,14.0,22.0,24.0
5,2,11436,72.5291748046875,96.29472351074219,128.34317016601562,8.0,15.0,33.0
5,3,3,10.622884750366211,13.715620040893555,39.3992919921875,35.5,36.0,48.5
5,4,21,85.55583953857422,104.06456756591797,122.26988220214844,34.0,34.0,36.0
5,5,64,107.00965118408203,156.0859375,194.29721069335938,61.75,76.5,79.25
5,6,108,60.650596618652344,81.76080322265625,123.08344268798828,24.75,35.0,47.0
5,7,22,56.03295135498047,93.98954772949219,117.16533660888672,65.75,78.5,96.75
6,0,424,79.59002685546875,118.35601043701172,172.53086853027344,59.75,77.0,95.0
6,1,94,14.237957954406738,29.00299072265625,64.91974639892578,23.0,34.0,48.0
6,2,538,112.06281280517578,145.687744140625,180.08822631835938,48.0,63.0,79.0
6,3,1962,130.58248901367188,186.8671875,240.37001037597656,48.0,61.0,78.0
6,4,101,52.41251754760742,104.87503051757812,161.273193359375,34.0,62.0,79.0
6,5,13043,136.31704711914062,189.60023498535156,242.82891845703125,35.0,47.0,61.0
6,6,1423,110.89775085449219,176.473876953125,233.60528564453125,35.0,47.0,62.0
6,7,2643,96.97808837890625,152.08541870117188,200.75662231445312,48.0,62.0,78.0
7,0,1416,26.784591674804688,59.81382751464844,108.47647094726562,1.0,4.0,14.0
7,1,722,112.89855194091797,257.59674072265625,376.7706298828125,16.0,24.0,34.0
7,2,580,118.80050659179688,226.33908081054688,337.4656982421875,15.0,24.0,34.0
7,3,253,1.1794939041137695,9.979299545288086,71.2843017578125,15.0,33.0,48.0
7,4,125,62.932899475097656,106.0350112915039,214.90664672851562,15.0,24.0,35.0
7,5,636,79.66886901855469,148.34689331054688,222.01220703125,23.0,34.0,47.0
7,6,152,39.1132926940918,70.72213745117188,100.92265319824219,32.0,36.0,48.0
7,7,108,3.2769296169281006,14.015754699707031,59.13894271850586,47.0,61.5,79.0
