grid_id,x,y,n_cells,C_state,I_state,C_margin,I_margin
97,4200.0,100.0,256,6,7,0.7771804,1.0
98,4300.0,100.0,342,6,6,0.5243147,0.40206313
99,4400.0,100.0,350,6,7,0.75870925,0.5369062
100,4500.0,100.0,430,6,7,0.77349126,0.5363413
101,4600.0,100.0,496,6,6,0.77796113,0.50504744
102,4700.0,100.0,483,6,6,0.7779612,0.8904116
103,4800.0,100.0,460,6,7,0.77796096,0.5101745
104,4900.0,100.0,429,6,1,0.7779065,0.22858453
105,5000.0,100.0,445,6,6,0.7779331,0.415176
106,5100.0,100.0,504,6,3,0.7146871,0.074866265
107,5200.0,100.0,553,6,3,0.6010848,0.5612998
108,5300.0,100.0,599,6,3,0.3248912,0.23949316
109,5400.0,100.0,656,6,3,0.45656654,1.0
110,5500.0,100.0,779,6,7,0.6030248,0.22572201
111,5600.0,100.0,942,6,6,0.4824369,0.20595527
112,5700.0,100.0,991,6,6,0.8458853,0.14019045
113,5800.0,100.0,877,6,6,0.86863506,0.24997434
114,5900.0,100.0,664,6,4,0.37779045,0.05032459
115,6000.0,100.0,372,0,6,0.49531898,0.49997354
116,6100.0,100.0,179,7,6,0.267907,0.079358965
117,6200.0,100.0,86,0,7,0.99204195,0.43275324
118,6300.0,100.0,59,0,7,0.9999945,0.90097636
119,6400.0,100.0,74,0,7,0.080025166,0.3529942
120,6500.0,100.0,80,1,0,0.030275494,0.37306398
121,6600.0,100.0,97,0,2,0.64090604,0.28808147
122,6700.0,100.0,84,1,2,0.46203315,0.15746978
123,6800.0,100.0,99,0,7,0.9999962,0.9595636
124,6900.0,100.0,87,0,2,0.509706,0.24895585
125,7000.0,100.0,108,0,7,0.99999535,0.8771821
126,7100.0,100.0,152,7,2,0.23850009,0.043936312
127,7200.0,100.0,167,3,2,0.3385502,0.27744392
128,7300.0,100.0,172,1,5,0.27758572,0.05830133
129,7400.0,100.0,127,0,7,0.3633575,0.0278683
130,7500.0,100.0,82,0,7,0.569761,0.42284915
131,7600.0,100.0,34,0,7,0.99999535,0.98839706
132,0.0,200.0,435,1,2,0.59239435,0.17871729
133,100.0,200.0,737,1,5,0.63211477,0.28988808
134,200.0,200.0,970,1,5,0.5437643,0.18281147
135,300.0,200.0,873,1,5,0.82164663,0.17765021
136,400.0,200.0,797,1,5,0.5772089,0.034734294
137,500.0,200.0,800,0,7,0.8527252,0.14529565
138,600.0,200.0,908,3,3,0.20810553,0.084681734
139,700.0,200.0,1116,5,3,0.19324008,0.102202326
140,800.0,200.0,1257,5,1,0.6793606,0.4331478
141,900.0,200.0,1146,5,1,0.009356141,0.21194625
142,1000.0,200.0,955,5,1,0.3804725,0.08553788
143,1100.0,200.0,866,0,1,0.22089231,0.23387256
144,1200.0,200.0,802,0,6,0.69740176,0.36306363
145,1300.0,200.0,775,1,5,0.68991,0.4769574
146,1400.0,200.0,801,1,5,0.12733713,0.00079876184
147,1500.0,200.0,798,1,5,0.95701915,0.86840934
148,1600.0,200.0,766,1,5,0.9820383,0.55375534
149,1700.0,200.0,790,1,5,0.8393917,0.3746189
150,1800.0,200.0,785,1,2,0.01989907,0.033572674
151,1900.0,200.0,814,3,6,0.0022824407,0.021250963
152,2000.0,200.0,863,5,3,0.19164234,0.17346749
153,2100.0,200.0,875,5,3,0.18224385,0.18482938
154,2200.0,200.0,881,6,3,0.17576641,0.30001968
155,2300.0,200.0,676,1,1,0.10571331,0.8306054
156,2400.0,200.0,598,0,1,0.03181967,0.080676675
157,2500.0,200.0,573,6,5,0.16220003,0.91594154
158,2600.0,200.0,521,1,5,0.6277592,0.56201434
159,2700.0,200.0,502,1,2,0.8433013,0.41277805
160,2800.0,200.0,382,6,5,0.60407627,0.14915358
161,2900.0,200.0,255,1,5,0.71457726,1.0
