CCC_only_niche,overlap_count,proportion_within_CompositionNiche8,proportion_within_CCCniche
Niche 1,4345,0.026378896882494004,0.12802380741919325
Niche 2,14797,0.08983395562031388,0.5213331924039037
Niche 3,4690,0.02847342379261148,0.02141679643083836
Niche 4,4101,0.024897550314179038,0.0621203629368193
Niche 5,26792,0.162656710074978,0.5136995494199981
Niche 6,2790,0.01693834805573263,0.021238533856049936
Niche 7,14927,0.0906231976444161,0.4431480821755136
Niche 8,92273,0.5601979176152748,0.6856367959577946
