k	stability	relative_reconstruction_error	reconstruction_error_sd	medoid_seed	stability_rank	error_rank	selection_rank_sum	selected
2	0.9999998229202833	0.4324679517145511	6.64804357607159e-09	22041123	2.0	7.0	9.0	False
3	0.9999999773543174	0.2248745532080833	2.422124225253028e-08	21936394	1.0	6.0	7.0	False
4	0.7943044077243369	0.18608891458643145	0.02110755013622091	21726936	7.0	5.0	12.0	False
5	0.8246689798562367	0.14852510924173218	0.02909739750416887	20679646	6.0	4.0	10.0	False
6	0.9016919159002367	0.11924090370823885	0.01702031948914889	20889104	3.0	3.0	6.0	True
7	0.8657055611600448	0.10349141861288058	0.006462228108128178	21098562	4.0	2.0	6.0	False
8	0.8397867122177175	0.0880487451236155	0.008945561686089032	20574917	5.0	1.0	6.0	False
