ccc_id	program	loading	feature_index	sender	receiver	lr_id	pair_key	ligand	receptor	pathway	route_module	route	coverage	standard_deviation	filtered_column	full_coefficient	positive_selection_probability	negative_selection_probability	selection_probability	sign_selection_probability	mean_coefficient	mean_absolute_coefficient	direction	stability_importance	loading_rank
Cancer epithelial->Cancer epithelial|JAM3--JAM2|JAM	P1	0.24893345839911626	25497	Cancer epithelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004818979339915	11821	-0.045665164	0.0	0.8	0.8	0.8	-0.02665697	0.02665697	protective	0.0213255763053894	1
Cancer epithelial->Cancer epithelial|JAM2--JAM3|JAM	P1	0.24887127288889438	25494	Cancer epithelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Cancer epithelial|JAM	1.0	0.0004588015753557	11818	-0.04592386	0.0	0.8	0.8	0.8	-0.02669312	0.02669312	protective	0.0213544964790344	2
Cancer epithelial->Endothelial|JAM2--JAM3|JAM	P1	0.13283033862135593	27254	Cancer epithelial	Endothelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0013970702465243	13177	-0.06449847	0.0	0.82	0.82	0.82	-0.029937372	0.029937372	protective	0.024548644721508	3
Endothelial->Cancer epithelial|JAM3--JAM2|JAM	P1	0.13280641827663978	36057	Endothelial	Cancer epithelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0014826374251148	18353	-0.06424285	0.0	0.82	0.82	0.82	-0.029908055	0.029908055	protective	0.0245246054604649	4
Endothelial->Cancer epithelial|JAM2--JAM3|JAM	P1	0.11606138343080953	36054	Endothelial	Cancer epithelial	JAM2--JAM3|JAM	JAM2--JAM3	JAM2	JAM3	JAM	JAM	Endothelial->Cancer epithelial|JAM	0.9973045822102424	0.0087692634421895	18350	-0.06504962	0.0	0.82	0.82	0.82	-0.031423166	0.031423166	protective	0.0257669964432716	5
Cancer epithelial->Endothelial|JAM3--JAM2|JAM	P1	0.11605812111684774	27257	Cancer epithelial	Endothelial	JAM3--JAM2|JAM	JAM3--JAM2	JAM3	JAM2	JAM	JAM	Cancer epithelial->Endothelial|JAM	0.9973045822102424	0.0092907860198863	13180	-0.064786494	0.0	0.82	0.82	0.82	-0.031378005	0.031378005	protective	0.0257299638539552	6
Cancer epithelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P1	0.0015885047316802014	24991	Cancer epithelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Cancer epithelial->Cancer epithelial|COLLAGEN	1.0	0.0002679663903931	11430	-0.05108519	0.0	0.78	0.78	0.78	-0.024753718	0.024753718	protective	0.0193078998103737	7
Endothelial->Cancer epithelial|COL6A3--GP6|COLLAGEN	P1	0.0014526520928854444	35551	Endothelial	Cancer epithelial	COL6A3--GP6|COLLAGEN	COL6A3--GP6	COL6A3	GP6	COLLAGEN	COLLAGEN	Endothelial->Cancer epithelial|COLLAGEN	0.9973045822102424	0.0005941188103243	17965	-0.06579441	0.0	0.8	0.8	0.8	-0.028183147	0.028183147	protective	0.0225465178489685	8
Cancer epithelial->Cancer epithelial|CDH1--ITGAE_ITGB7|CDH1	P1	0.00046713570379729543	24848	Cancer epithelial	Cancer epithelial	CDH1--ITGAE_ITGB7|CDH1	CDH1--ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	CDH1	Cancer epithelial->Cancer epithelial|CDH1	1.0	0.0245333263582538	11301	-0.066591024	0.0	0.78	0.78	0.78	-0.0365383	0.0365383	protective	0.028499873355031	9
Cancer epithelial->Endothelial|RETN--TLR4|RESISTIN	P1	0.0003732191957615243	27593	Cancer epithelial	Endothelial	RETN--TLR4|RESISTIN	RETN--TLR4	RETN	TLR4	RESISTIN	RESISTIN	Cancer epithelial->Endothelial|RESISTIN	0.9973045822102424	0.0013441732457319	13462	-0.07448931	0.0	0.84	0.84	0.84	-0.038082436	0.038082436	protective	0.0319892460107803	10
