CCC,mean_A,mean_B,delta,enriched_in
Prolif_Invasive_Tumor → Invasive_Tumor | CDH1–CDH1,0.4398832062897157,3.053711811428726,-2.6138286051390103,Niche B
Invasive_Tumor → Prolif_Invasive_Tumor | CDH1–CDH1,0.4398832072272327,3.0537118074481517,-2.613828600220919,Niche B
Prolif_Invasive_Tumor → Prolif_Invasive_Tumor | CDH1–CDH1,0.2896650373529749,2.6944527220015293,-2.4047876846485545,Niche B
Invasive_Tumor → Invasive_Tumor | CDH1–CDH1,0.8313026652627777,2.7155141933517584,-1.8842115280889806,Niche B
Macrophages_1 → Prolif_Invasive_Tumor | S100A4–ERBB2,0.20949753425103318,1.6854587138056594,-1.4759611795546261,Niche B
Endothelial → Endothelial | MMRN2–CLEC14A,1.4690993560773973,0.26535671227968644,1.2037426437977108,Niche A
Endothelial → Endothelial | MMP2–PECAM1,1.659377635925405,0.303612819759962,1.355764816165443,Niche A
Endothelial → Endothelial | MMRN2–CD93,1.9257174032862727,0.30466739143989063,1.621050011846382,Niche A
Stromal → Endothelial | MMP2–PECAM1,3.154970369913494,0.8603850743532221,2.294585295560272,Niche A
Endothelial → Endothelial | PECAM1–PECAM1,5.181357112896616,0.7972504734076385,4.384106639488977,Niche A
