niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,log2_relative_enrichment,local_celltype_entropy,mannwhitney_u,p_greater_raw,relative_enrichment_0to1,across_niche_entropy
C0,B_Cells,48154,0.04893825608051939,0.030409533383313363,0.6864390125199692,0.4863340719793548,3848968555.0,0.0,0.019109844140547932,0.651681786341864
C1,B_Cells,46693,0.004479265190445898,0.030409533383313363,-2.763189691782163,0.5097262021664231,1603429741.0,1.0,0.0,0.651681786341864
C2,B_Cells,7309,0.006290781054653781,0.030409533383313363,-2.273212622682405,0.5894549539438881,522714906.5,1.0,0.0,0.651681786341864
C3,B_Cells,6024,0.02822064595377828,0.030409533383313363,-0.10777266847123709,0.5881665915274013,548194781.5,1.846642690326683e-71,0.0,0.651681786341864
C4,B_Cells,18982,0.002337327757068293,0.030409533383313363,-3.70159172005609,0.5641161810383862,809388756.5,1.0,0.0,0.651681786341864
C5,B_Cells,14400,0.001972714706786606,0.030409533383313363,-3.946269444255776,0.5752129382433377,709585094.5,1.0,0.0,0.651681786341864
C6,B_Cells,17516,0.0835545268137012,0.030409533383313363,1.4581943134277329,0.5888497100951962,2095520468.5,0.0,0.054811794525820065,0.651681786341864
C7,B_Cells,7285,0.10171616479399798,0.030409533383313363,1.7419533870137003,0.6054216719813701,942365667.5,0.0,0.0735430409701776,0.651681786341864
C0,CD4+_T_Cells,48154,0.03728794827954882,0.052724174486398795,-0.49975518470882757,0.5513480540848745,3055963938.5,8.181757020088184e-124,0.0,0.5830500976801949
C1,CD4+_T_Cells,46693,0.007950632133939489,0.052724174486398795,-2.729323126484631,0.5429513247682676,1979613350.0,1.0,0.0,0.5830500976801949
C2,CD4+_T_Cells,7309,0.009949741865546246,0.052724174486398795,-2.405733599281977,0.6043629520333472,526397278.0,1.0,0.0,0.5830500976801949
C3,CD4+_T_Cells,6024,0.05122055877208581,0.052724174486398795,-0.041741610033361694,0.5999756774639965,543412060.0,1.0270904422562122e-61,0.0,0.5830500976801949
C4,CD4+_T_Cells,18982,0.0020498218925196904,0.052724174486398795,-4.684894135333025,0.5604331779143259,728550434.5,1.0,0.0,0.5830500976801949
C5,CD4+_T_Cells,14400,0.006978631744263634,0.052724174486398795,-2.9174484921590764,0.5988124375578612,891192072.5,1.0,0.0,0.5830500976801949
C6,CD4+_T_Cells,17516,0.3023390489301501,0.052724174486398795,2.519630817105449,0.5622570705063257,2433467586.0,0.0,0.263508122682655,0.5830500976801949
C7,CD4+_T_Cells,7285,0.10818133228793364,0.052724174486398795,1.036915063227615,0.6224293910524022,921571251.5,0.0,0.05854383307149917,0.5830500976801949
C0,CD8+_T_Cells,48154,0.044250272850539736,0.04260592590319246,0.05463224737867528,0.5203195903453303,2988228108.0,6.660301782826915e-58,0.0017175236319469905,0.7969532983243335
C1,CD8+_T_Cells,46693,0.014210854757097645,0.04260592590319246,-1.5840607708662047,0.49132774289086895,1998160088.5,1.0,0.0,0.7969532983243335
C2,CD8+_T_Cells,7309,0.02569117636674804,0.04260592590319246,-0.7297811526400321,0.5714033735176285,596039217.0,0.00011628737099571933,0.0,0.7969532983243335
C3,CD8+_T_Cells,6024,0.041220378738865505,0.04260592590319246,-0.0476963429780729,0.5953047757635531,524338157.0,5.6638085840469416e-30,0.0,0.7969532983243335
C4,CD8+_T_Cells,18982,0.012285766545177901,0.04260592590319246,-1.7940662290234584,0.5058657130991694,1004466630.5,1.0,0.0,0.7969532983243335
C5,CD8+_T_Cells,14400,0.013201879467274417,0.04260592590319246,-1.6903107720497124,0.5555923636431339,792268030.0,1.0,0.0,0.7969532983243335
C6,CD8+_T_Cells,17516,0.13521779817142301,0.04260592590319246,1.666159051481107,0.5814604898711594,2186511415.5,0.0,0.09673328337194831,0.7969532983243335
C7,CD8+_T_Cells,7285,0.14630003620692553,0.04260592590319246,1.7798041177736093,0.6117271021138332,990156324.5,0.0,0.10830870287301149,0.7969532983243335
C0,DCIS_1,48154,0.010736179059680474,0.0786026815868653,-2.8720978934377754,0.5165132343930171,2460121553.0,1.0,0.0,0.17747191201461418
C1,DCIS_1,46693,0.000682789906081753,0.0786026815868653,-6.846992988913962,0.4472666656334316,1534067608.5,1.0,0.0,0.17747191201461418
C2,DCIS_1,7309,0.03203515158114271,0.0786026815868653,-1.2949227149357914,0.5168203349729765,616728530.5,1.5979698685687717e-23,0.0,0.17747191201461418
C3,DCIS_1,6024,0.004502351595229649,0.0786026815868653,-4.12582790312513,0.5847053623192685,430928597.5,1.0,0.0,0.17747191201461418
C4,DCIS_1,18982,0.6369563434987369,0.0786026815868653,3.0185440576255202,0.2979947111810334,2796433781.0,0.0,0.6059857683040465,0.17747191201461418
C5,DCIS_1,14400,0.008290799848423762,0.0786026815868653,-3.244995335321667,0.4018152670233681,1512783666.0,0.0,0.0,0.17747191201461418
C6,DCIS_1,17516,0.0016178193475988875,0.0786026815868653,-5.602456106448553,0.408856436207276,1188561882.5,1.0,0.0,0.17747191201461418
C7,DCIS_1,7285,0.0038447218383171216,0.0786026815868653,-4.353627401974371,0.6404890936087279,540542352.0,1.0,0.0,0.17747191201461418
C0,DCIS_2,48154,0.008966129355131055,0.0704315677303536,-2.9736649772333377,0.5190021671973475,2010126083.0,1.0,0.0,0.4869246341852779
C1,DCIS_2,46693,0.01020713069727738,0.0704315677303536,-2.786644825225336,0.3691170752444852,1660287839.0,1.0,0.0,0.4869246341852779
C2,DCIS_2,7309,0.13254690352430804,0.0704315677303536,0.9122088662485178,0.4782525042907501,955248532.5,0.0,0.06682169234414816,0.4869246341852779
C3,DCIS_2,6024,0.005693460104612985,0.0704315677303536,-3.628844597860279,0.5979267031421583,341799707.0,1.0,0.0,0.4869246341852779
C4,DCIS_2,18982,0.05621755420496743,0.0704315677303536,-0.32520150656326,0.33121923691548893,2227298098.0,0.0,0.0,0.4869246341852779
C5,DCIS_2,14400,0.5914305956025298,0.0704315677303536,3.069914777150139,0.30913320273717965,2183413743.0,0.0,0.5604740972110016,0.4869246341852779
C6,DCIS_2,17516,0.008311960482296,0.0704315677303536,-3.0829614954194247,0.5194188506912578,1169828892.0,1.0,0.0,0.4869246341852779
C7,DCIS_2,7285,0.01049459763594788,0.0704315677303536,-2.74657534119499,0.6482492358331692,532165076.5,1.0,0.0,0.4869246341852779
