niche,cell_type,n_cells,mean_local_fraction,global_mean_local_fraction,log2_relative_enrichment,local_celltype_entropy,mannwhitney_u,p_greater_raw,relative_enrichment_0to1,across_niche_entropy
I0,B_Cells,16248,0.07047430108391653,0.030409533383313363,1.2125735859553057,0.5432724666861282,1804427251.5,0.0,0.04132133006670968,0.8627448920494277
I1,B_Cells,23403,0.01083778002427784,0.030409533383313363,-1.4884544091532845,0.5931069715875379,1450088342.0,1.0,0.0,0.8627448920494277
I2,B_Cells,15207,0.015339285634807697,0.030409533383313363,-0.9872923824532625,0.46288821199422714,913575323.0,1.0,0.0,0.8627448920494277
I3,B_Cells,26378,0.0061626054641676685,0.030409533383313363,-2.3029113425574783,0.5485924602567419,1204555151.0,1.0,0.0,0.8627448920494277
I4,B_Cells,14194,0.10243127855510173,0.030409533383313363,1.7520607415776484,0.5776152214331445,1854699850.5,0.0,0.07428058304152148,0.8627448920494277
I5,B_Cells,43601,0.007312109046884216,0.030409533383313363,-2.0561641882116053,0.5758285653551443,1698424669.5,1.0,0.0,0.8627448920494277
I6,B_Cells,16766,0.06756827036165161,0.030409533383313363,1.1518222456903155,0.5453947292702451,1971630428.0,0.0,0.03832415670092228,0.8627448920494277
I7,B_Cells,10566,0.033969526168706826,0.030409533383313363,0.1597174153899619,0.33620822354817054,823920071.5,0.42982402266728326,0.0036716458215763936,0.8627448920494277
I0,CD4+_T_Cells,16248,0.10642166100721537,0.052724174486398795,1.0132553193547562,0.5781748513412043,1673594429.0,0.0,0.05668622071264456,0.7887118571739622
I1,CD4+_T_Cells,23403,0.02646504014270862,0.052724174486398795,-0.9943767593024052,0.6117687465497665,1569031985.5,1.0,0.0,0.7887118571739622
I2,CD4+_T_Cells,15207,0.015548844986197921,0.052724174486398795,-1.7616571848298763,0.5224385055860039,797145965.0,1.0,0.0,0.7887118571739622
I3,CD4+_T_Cells,26378,0.005571731606443154,0.052724174486398795,-3.2422669321163546,0.5859882712033881,1128146962.0,1.0,0.0,0.7887118571739622
I4,CD4+_T_Cells,14194,0.20398018381178662,0.052724174486398795,1.9518924978768628,0.5656852951486798,1869878105.0,0.0,0.15967472752023276,0.7887118571739622
I5,CD4+_T_Cells,43601,0.018678631184393953,0.052724174486398795,-1.4970758668498276,0.5894351930918883,2167295761.5,1.0,0.0,0.7887118571739622
I6,CD4+_T_Cells,16766,0.13588201709001882,0.052724174486398795,1.3658180327204406,0.5459571704029613,2067377072.5,0.0,0.08778630295830982,0.7887118571739622
I7,CD4+_T_Cells,10566,0.004876898516906132,0.052724174486398795,-3.4344287445019157,0.4027765488949522,448850806.5,1.0,0.0,0.7887118571739622
I0,CD8+_T_Cells,16248,0.07191769964318001,0.04260592590319246,0.7552927719773486,0.5706596451503745,1567494628.0,0.0,0.030616205523979114,0.8980627705753343
I1,CD8+_T_Cells,23403,0.037601684138954004,0.04260592590319246,-0.1802568234978833,0.5834859176460457,1615853154.0,1.0,0.0,0.8980627705753343
I2,CD8+_T_Cells,15207,0.0163738877343324,0.04260592590319246,-1.3796571947479028,0.48251729342758154,735404253.0,1.0,0.0,0.8980627705753343
I3,CD8+_T_Cells,26378,0.017934882241546535,0.04260592590319246,-1.2482858308131923,0.5430623554307012,1412483188.0,1.0,0.0,0.8980627705753343
I4,CD8+_T_Cells,14194,0.10377020140388524,0.04260592590319246,1.2842662108799296,0.5757335720575713,1731748779.5,0.0,0.0638862064802253,0.8980627705753343
I5,CD8+_T_Cells,43601,0.023483873644339615,0.04260592590319246,-0.859383704225578,0.5433955032971,2272095365.5,1.0,0.0,0.8980627705753343
I6,CD8+_T_Cells,16766,0.1021429858469227,0.04260592590319246,1.2614641289428685,0.5495723266537595,1992161184.0,0.0,0.06218657661934736,0.8980627705753343
I7,CD8+_T_Cells,10566,0.010230049647930103,0.04260592590319246,-2.0582409567923605,0.36713294652187384,394080535.0,1.0,0.0,0.8980627705753343
I0,DCIS_1,16248,0.0017855538035875175,0.0786026815868653,-5.460135019096989,0.5533997852695567,1052829395.0,1.0,0.0,0.0760493256774293
I1,DCIS_1,23403,0.00395799137659158,0.0786026815868653,-4.31173815730004,0.4247707372765758,1965003476.5,0.0,0.0,0.0760493256774293
I2,DCIS_1,15207,0.002050071028429209,0.0786026815868653,-5.2608327307185325,0.43163300698959556,849353837.5,1.0,0.0,0.0760493256774293
I3,DCIS_1,26378,0.4834990127087443,0.0786026815868653,2.620862506735153,0.3094216888858977,3675051485.5,0.0,0.4394372796951556,0.0760493256774293
I4,DCIS_1,14194,0.001566632370466058,0.0786026815868653,-5.648839952475014,0.5974332835230407,879742609.0,1.0,0.0,0.0760493256774293
I5,DCIS_1,43601,0.000268000372140813,0.0786026815868653,-8.19619971232302,0.42774354427847505,1510995989.0,1.0,0.0,0.0760493256774293
I6,DCIS_1,16766,0.002221809638551006,0.0786026815868653,-5.144771412166747,0.5774983219137076,1049653177.5,1.0,0.0,0.0760493256774293
I7,DCIS_1,10566,0.009355693223175933,0.0786026815868653,-3.0706620707174435,0.4419585536915595,738691117.0,1.0,0.0,0.0760493256774293
